,UsernamePost,DatePosting,Posting,Saham
89,HarisTian,"12 May 21, 20:26","@HanSL Taqobballahu minna wa minkum, shiyamana wa shiyamakum..

Happy eid mubarak 1442 H om...

btw, agak sallah tuh caption nya om.. hehe.",[]
90,mtaufikmulyadi,"12 May 21, 20:26",$ADRO Semoga harga nya bisa bertahan di atas $100 sampai senin depan udah ada amunisi 800 lot di emiten ini setelah hampir 2 bulan di kasih sideways.,ADRO
91,christianedbert,"12 May 21, 20:26","@kaburterus
Setuju bro .
Menurut saya juga UNVR ga bisa dihitung pake PBV.",UNVR
92,IfoYuda,"12 May 21, 20:26","kalo masih nyangkut, HODL juga om? atau serok?",[]
93,widayat46,"12 May 21, 20:25",@fakhranrahmat setuju,[]
94,jameshermanto,"12 May 21, 20:24","@winsonskrrrtt ya dude
Lama2 gagal bayar bunga",[]
95,Nugroho911,"12 May 21, 20:24","digoyang terus...
$IHSG libur rabu kamis jumat...
senin depan di Rapel ga merah nya...
$PGAS $UNVR $ANTM $MPPA","ANTM,MPPA,PGAS,UNVR"
96,Adha132,"12 May 21, 20:23","@Cintagame sdh 2 tahun , sampai kapan bole merugi terus dgn tetap sehat & sejahtera...?",[]
97,WilliamOverture,"12 May 21, 20:20",@DenisAnrez wkwkwkwk,[]
98,sukirnoinno,"12 May 21, 20:19","H-2 Lebaran, Kendaraan Tinggalkan Jabodetabek Lewat Tol Jasa Marga Turun 43,7 Persen

PT Jasa Marga (Persero) Tbk (JSMR) mencatat volume kendaraan keluar Jabodetabek mencapai 462.560 kendaraan. Catatan volume ini sejak larangan mudik diberlakukan hingga H-2 Lebaran, yaitu 6-11 Mei 2021.

 Angka ini turun 43,7% dari lalu lintas (lalin) normal sebesar 821.892 kendaraan,  ujar Corporate Communication & Community Development Group Head Jasa Marga Dwimawan Heru dalam siaran pers, Rabu, 12 Mei 2021.",[]
99,EVAH,"12 May 21, 20:18",tahun 2016 tidak bagi deviden bro,[]
100,sukirnoinno,"12 May 21, 20:18","Pengelola Alfamidi Tebar Dividen Rp60 Miliar Usai Lebaran, Simak Jadwal Lengkapnya!

Emiten pengelola Alfamidi, PT Midi Utama Tbk (MIDI), menebar dividen untuk tahun buku 2020 sebesar Rp60 miliar atau Rp20,85 per lembar saham. Besaran dividen yang ditebar MIDI setara dengan 30% dari keseluruhan laba bersih perusahaan pada tahun lalu.

 Jumlah dividen yang dibagikan sebesar Rp20,85 per lembar saham,  ungkap Direktur Keuangan Suantopo Po dalam paparan publik, Kamis 6 Mei 2021.",MIDI
101,winsonskrrrtt,"12 May 21, 20:17","$LPCK Lippo Cikarang Tbk ( LPCK )
2020 V 2019
Revenue : 1,8T 1.6T ( 8%)
Gross Profit : 664B 644B ( 3%)
Net Profit : -3.7T 384B (-300%)

Luar biasa bukan main2 jatuhnya . kok bisa?

1 . Beban lainya meningkat dari 120B menjadi 2T , CLK 6 : Pada tahun 2020, Perusahaan mencatat penghapusan persediaan sebesar Rp890.940 (lihatCatatan 34). LPCK melakukan write off persediaan sebesar 890B

2. Bagian Rugi Investasi pada Entitas Asosiasi (1,668,611) pada 2020 dibanding 2019 sebesar (44,955) , CLK 11 LPCK write off Mahkota Sentosa Utama(meikarta) serta revaluasi investasi

ini revaluasi2 sengaja dibikin jelek apa gimana , investasi juga ke affiliasi semua.

ribet sekali grup L ini cmiiw",LPCK
102,ferdinanfirmansya,"12 May 21, 20:14",@ridha2001 asumsi saya sih seperti itu.,[]
103,BerbagiKebaikan,"12 May 21, 20:14 · Edited on 12 May 21, 20:14","VIP FGC

Mengucapkan Selamat Hari Raya Idhul Fitri 1442 H.

Semoga Allah SWT menjadikan kita semua sebagai hamba-hambaNya yang kembali ke fitrah.

Mohon maaf lahir dan bathin.
Semoga cuan Konsisten",[]
104,kaburterus,"12 May 21, 20:13","@christianedbert iyA setuju. Itu sebabnya gw heran yang masih teriak2 dengan konsep pbv. Padahal pbv tidak sama dengan nilai instrinsik.

Per itu konsep yang dinamis. Susah jadi patokan. Kalau saya pakai data eps rata2 sebelum covid. Eps nya = 180-200 let say 190 maka saya berharap dapat harga instrinsik dengan nilai per = 25-30 atau sekitar maksimum 5000.

Kenapa saya sudah curi start duluan. Saya masih iseng2 cari capital gain. Karena saya yakin harga saham akan turun-naik suka2 market. Kalau saya dapat gain, artinya harga beli saya kan juga turun. Mudah2an nantinya saya punya saham ini dibawah harga 5000 biar punya margin of safety seperti yang om maksudkan.

Apakah per 25-30 adalah mahal? Sangat obyektif dan tergantung bagaimana kita menjalankan bisnis saham. Saya pakai strategi setengah bagian saya akan jual kalau untung, dan beli lagi kalau merah. Jadi Sangat dinamis. Tapi kalau saya baru punya 20%, mendingan ya diparkir dahulu...",[]
105,andicuan,"12 May 21, 20:13",silmy ga malu gitu,[]
106,HanSL,"12 May 21, 20:11","Jika semua harta adalah racun, maka zakat adalah penawarnya. Jika seluruh umur adalah dosa, maka takwa dan tobat adalah obatnya. Jika seluruh bulan adalah noda maka Ramadhan adalah pemutihnya.

Mohon maaf lahir dan batin. Selamat menunaikan ibadah puasa 1442 H

Hansl.",[]
107,StockbitNews,"12 May 21, 20:10","Penukaran Uang Baru Terbatas, Nasabah Pilih Tarik di ATM Pecahan Rp 20.000
JAKARTA, Seiring dengan terbatasnya layanan penuaran uang baru, banyak nasabah memilih untuk menarik uang pecahan Rp 20.000 di ATM.Salah satu bank yang menyediakan pecahan Rp 20.000 di ATM adalah PT Bank Negara Indonesia (Persero) Tbk atau BNI.Seperti pantauan https://bit.ly/19GJR7j di BNI Cabang Margonda Depok...","BANK,SATU,UANG"
108,StockbitNews,"12 May 21, 20:10","Ini Cara Bayar Zakat Lewat Jenius
JAKARTA, Jenius menawarkan layanan pembayaran zakat dan juga donasi bagi para pengguna lewat aplikasinya. Hal tersebut bisa dilakukan setelah bank di bawah PT Bank BTPN Tbk itu bekerjasama dengan Badan Amil Zakat Nasional (Baznas), Rumah Zakat, dan Dompet Dhuafa. Digital Banking Business Product Hea...","BANK,BTPN"
109,dhimputra,"12 May 21, 20:09","@stevenandre siap gan, silahkan wait & see terus sampe ekonomi berjalan sempurna & covid selesai mudah2an di saat itu harga risk assets masih pada murah ya.

Ada referensi kenapa risk assets ditinggalkan oleh investor? Terus itu duit triliunan dolar mau ditaruh dimana?",[]
110,internazionale,"12 May 21, 20:08",hold sampai 30 rb,[]
111,cyndyaprila,"12 May 21, 20:07",$ACES,ACES
112,smartrp,"12 May 21, 20:05","$SIMP MALAM BAGGER
pelan - pelan saja cernanya gapapa.
$IRRA $BRIS $ANTM $AISA","AISA,ANTM,BRIS,IRRA,SIMP"
113,dhimputra,"12 May 21, 20:04","@swingbaguzpedia betul, investasi di pasar modal ga boleh pake kacamata kuda dan ga peduli sama dinamika yang terjadi",[]
114,winsonskrrrtt,"12 May 21, 20:04","@jameshermanto kalau begitu terus , gali lubang tutup lubang terus dong. piutang menumpuk , kas terbakar. kalo gini rasanya pakai current ratio percuma makasih dude udh jawab.",[]
115,jusvalue,"12 May 21, 20:04","$MLIA Harusnya makin Kinclong performancenya di Q2 sebab baca berita penjualan mobil naik hingga 700 %, dan sebagaimana diketahui salah satu produk MLIA adalah kaca untuk kendaraan mobil....semiga aja ath terus2an melimpah to 2.500 an.....","BACA,MLIA,SATU"
116,stevenandre,"12 May 21, 20:03",@dhimputra dampak akibat US terlalu memberi banyak stimulus. tinggal tunggu kebijakan fed saja apakah bakal menaikkan suku bunga atau tapering. untuk saat ini 100% cash dulu. covid juga makin parah di banyak negara. aset beresiko akan semakin ditinggalkan para investor,CASH
117,swingbaguzpedia,"12 May 21, 20:03",berubah pikiran ya,[]
118,skydrugz27,"12 May 21, 20:01","Coal 100 Dollar

Sayangnya market tutup.

Kalau hari ini market buka, $PTBA $ITMG $ADRO mungkin bisa rally.

Tahun lalu saya prediksi coal 100 dollar kemungkinan di Januari - Februari 2021. Ternyata saya salah. Coal 100 dollar justru terjadi di Mei - Juni 2021 ketika musim panas sudah dekat.

Yang jadi masalah nih begitu libur begini coal 100 dollar. Pas bursa buka, coal malah nyungsep lagi ke 80 dollar. Gagal party deh.


Anyway, biarpun ada delay, setidaknya coal bisa tembus 100 dollar juga di 2021.

Investor yang sudah borong saham arang dari tahun lalu Keep HODL.

Kita sudah cukup lama bersabar. Semoga tahun ini kesabaran kita terbayarkan.

Yang bosan dengan coal bisa pindah ke kripto.


Coal dan kripto saling mengisi. Untuk mining kripto butuh PLTU. Dan PLTU butuh coal.","ADRO,ITMG,PTBA"
119,yodhaanoraga,"12 May 21, 20:01",hary tanoe mana nih hary tanoe,[]
120,kaburterus,"12 May 21, 19:59",@jwick kalau dalam bank boros modal bukan dihubungkan dengan biaya. Tetapi kemampuan minjamin duit. Punya modal gede tapi tidak mampu menyalurkan pinjaman disebut boros modal. Begitu kondisi $BANK yang sudah berdiri semenjak tahun 1995,BANK
121,trial411,"12 May 21, 19:57",Anjay ngomongnya.. kaya seneng bgt liat negara sendiri banyak kasus covid,[]
122,roviandika,"12 May 21, 19:56",Q4 belum keluar udah mau jalan q2.. Q1 masih molor,[]
123,muchlis20,"12 May 21, 19:56",hmm,[]
124,MrCuanKi,"12 May 21, 19:56","@TradingGorengan
oke tutup busi sama2",[]
125,Dwikaguri,"12 May 21, 19:55 · Edited on 12 May 21, 19:55","basan $MLPT donk Bang, sama ga kek $LINK , harganya zig zag bgt","LINK,MLPT"
126,skydrugz27,"12 May 21, 19:54",@5tocker,[]
127,fajrisyafitri2704,"12 May 21, 19:52",Serok bos,[]
128,andreas7hartono,"12 May 21, 19:52","$PTRO salah satu emiten LKH yg bisa di bil porsi terbesar beliau ampe 15an persen. Awal 2016-2018 ketika coal booming dan Dari awal kinerja nya rugi besar balik jd profit lumayan besar dan dari harga 700 naik jd 3300 dan muncul 1 pertanyaaan syaa di otak. ""Kenapa LKH gk jual?"" dan dia jual sempet 100.000 lembar di 3000an tp itu bisa di bil kecil sekali. Dari sana sya ternyata slah beliau liat lebih jauh lg. Ternyata sya Miss di NPM PTRO yg cm cetak 3-5 persen. Saya mikir kalau NPM balik lg kaya dlu bisa gila. Saya mikir udh selesai. Ternyataa sya miss lg 1 part ekspansinya Indika group yg mw msk ke sektor lain dll. Saya lansung ngeh wajar kalau LKH msh suka tambah porsi di PTRO. Dlu sya mikir perusahaan Ekspansi emg kenapa? kan prosesnya lama dan belom tentu untung? Saya slah lg mikir bgini hehehe. Saya mikir bukannya kalau ekspansi trus kalau bisnis barunya NPM lebih kecil dr sekrg gmn? bukan rata"" NPM perusahaan turun? dan emg dampaknya lansung berasa ya?

Tapi setelah liat kasus dan sya baru sadar. Misal Perusahaan A nilai PBV nya 200 dan EPS nya 20. Dengan sales 20 juta lalu NPMnya 10% maka Labanya 2 juta. Dengan lembar saham 100 ribu.
Terus perusahaan Ekspansi dengan naikin produksi jd 2 kali lipat. otomatis bagian Salesnya kena dampak awal dari 20 juta jd 40 juta trus otomatis Labanya Naik jd 4 juta maka EPS nya jd 40 nilai Awal 200 jd 400. dan modal kita di harga 50. pertama kita dapat untung cm 4 kali skrng jd 8 kali? besar kan? heheh

Tapi kalau NPMnya turun? jd 8 persen? msh memberikan kita dampak kan? 40 juta kali 8 persen 3,2 juta kan? eps nya jd 32 nilai wajrnya jd 320. kita msh untung 6.4 kali kan?

cba sya balik tnya bgini? gmna kalau produksi meningkat plus NPM nya naik alias ""efisien""? bayangin gk? Sales 40 juta + NPM jd 15 persen? berapa besar return kita dapat? Labanya jd 6 juta kan? nilai jd 600 kan? dapat return 12 kali kan? Apa kita rugi? enggak kan? sama"" untungkan? cm kita pilih dpt untung yg mana? 6.4?8? atw 12? intinya yah kita menikmati keuntungan kan? hehehe

Oh ya itu dr segi nilai loh blom lg dari sgi dividen. Perusahaan Eps nya 20 bagi dividen 5 (25%) kita dapat bunga 10 persen. Cba pas EPS nya jd 60? Dividen kita dpt jd 15 kan? dpt 30 persen per tahun gede gk? heheh.

Pertnyaan nya kita mau nunggu atw percaya gk? Atau berharap bsk ARA terus""an hehehe. sabar aja rejeki gk kemana kok hehehe



Oh ya thermal china udh 977 bntr lg mendekati harga coal bulan desember di 1000-1100 yuan.Mungkin akan 1500 yuan

Coal indo ke China naik jg kok skrng jd 89 bntr lg menyusul ke 90an. Kenapa? Yap ada mslah skrg karena kasus corona melonjak otomatis proses pengiriman via kapal ke ganggu dan membuat harga coal mulai naik alias spike. Barchart hari ini sentuh 102 dollar hwheh","INDO,PTRO,SATU,TRUS"
129,fajrisyafitri2704,"12 May 21, 19:51","intinya dsnh lebih banyak Investor Rasa Trader, Investor Sesungguhnya sdh mulai masuk secara diam"" masih ngontrol bandar"" Cemen yg buang barang IPO, #NPGF ini saham prospek dan sangat terlalu murah secara semenjak IPO langsung di banting Bandar Sebatas cari cuan lebaran saja & blm ada bandar investor sungguhan....

dan kurangnya Pihak #NPGF kurang update perihal Profile Perusahaan padahal dana IPO bisa di sishkan bangun manajemen Marketing Sosial untuk menarik investor asing targetnya, kalau investor indo hanya sebatas Trader Baik Bandar/Retail

yang setuju mari debat, ga hanya di saham #NPGF tapi saham lain pun sama.....","INDO,MARI"
130,yttj999,"12 May 21, 19:47","*Selamat ldul Fitri 1442 H* buat teman2 yang merayakan,
Mohon Maaf Lahir dan Batin",[]
131,christianedbert,"12 May 21, 19:46 · Edited on 12 May 21, 19:46","Intrinsic value disini bukan 1 PBV. Hitungnya bebas sesuai selera dan pengalaman masing-masing. Kalo menurut bro nilai intrinsik (=harga wajar) UNVR adalah PER 60 (Rp 5340), berarti bro beli UNVR skrg ada MoS sekitar 75%.",UNVR
132,denas2406,"12 May 21, 19:46","@bennix misinya balas perlakuan raja jawa terhadap utusan mongol. Sialnya pas dateng kekuasaan sudah berganti, tapi misi harus tetap terlaksana.

Dan lebih sialnya ketemu lokal partner yg licik.","JAWA,RAJA"
133,skydrugz27,"12 May 21, 19:46",Saya ndak fotogenik wak. Saya Takut mata Stockbitor rusak ketika lihat fotoku,[]
134,dhimputra,"12 May 21, 19:45","INFLASI AMERIKA BERADA PADA LEVEL TERTINGGINYA DALAM PERIODE 13 TAHUN TERAKHIR $IHSG $ASRI $PTBA $BSDE $BBNI

Pssttt, commodities & real estate, pssst

https://bit.ly/3y5Q8Ko","ASRI,BBNI,BSDE,PTBA,REAL"
135,5tocker,"12 May 21, 19:44",@skydrugz27 ampun ni ritel teri,[]
136,fakhranrahmat,"12 May 21, 19:44","lucu sih kalo ada ritel permasalahin cadangan coal $ITMG yang mau habis 10-15 tahun lagi. yakin tuh ritel bakal keep ITMG selama 10 tahun di portfolionya? market sideways aja ngeluh mulu karena cari cuan ga segampang 2020 kemarin. apalagi mau hold 10 tahun? WKWKWKWKWK

kalo holding period kurang kurang dari 1 tahun, ngapain permasalahin cadangan yang bakal habis 10-15 tahun lagi?

$IHSG",ITMG
137,HarisTian,"12 May 21, 19:43","@mangamsi Taqobballahu minna wa minkum, shiyamana wa shiyamakum..

Selamat Idul Fitri 1442 H Mang..
Sukses selalu.",[]
138,skydrugz27,"12 May 21, 19:43",@5tocker bayar kalau pertamax wak,[]
139,riffcell,"12 May 21, 19:43",$BABP EID MUBARAK..!!,BABP
140,skydrugz27,"12 May 21, 19:43",@ardhatopan,[]
141,skydrugz27,"12 May 21, 19:43","@Vevelovers Sudah punya akun kripto?

Kalau belum, bisa buka akun lewat tokokripto di link ini
https://bit.ly/3abPgJS

Atau buka lewat Binance
Pakai link ini
https://bit.ly/3a82jvO

Untuk modal <10 juta sebaiknya tokokripto saja cuma kelemahan jumlah koin sedikit

Kalau modal >10 juta di Binance, koin lebih banyak

Sebaiknya bikin akun dulu di Binance.

Karena kita bisa log in di Tokokripto pakai akun Binance karena mereka satu perusahaan.

Untuk melakukan top up ke Binance maka terlebih dahulu lakukan top Up ke Tokokripto lalu transfer koin ke Binance.","KOIN,LINK,SATU"
142,jwick,"12 May 21, 19:42",Boros modal buat bayar gaji direksi2 yg baru diangkat pas rups kemaren. itu orang top semua pasti gajinya gede.,[]
143,HarisTian,"12 May 21, 19:42",Selamay Hari Raya Idul Fitri juga Pak..,[]
144,skydrugz27,"12 May 21, 19:42",@Vevelovers 50rb,[]
145,ardhatopan,"12 May 21, 19:41",lwwkwk baru 3 bulan sideways aja dah gerah kok 10 tahun bang,[]
146,ridha2001,"12 May 21, 19:41",@ferdinanfirmansya libur berarti transaksi ekspor impor berhenti jugaa ya? Baru tau saya. Hahahaa,[]
147,christianedbert,"12 May 21, 19:41",@kaburterus i see @3@,[]
148,jusvalue,"12 May 21, 19:41","$SMDR Setiap Investor saham pny gaya investasi masing2....aqu percaya sama persh ini sdh sangat lama di bidangnya, punya anak usaha juga yg sdh go public di bursa Straitimes Singapore, dan disamping itu memiliki hak pengelolaan pelabuhan Tanjung Priok dan juga Pelabuhan ibukota baru.

Pemain utama diperusahaan logistic laut serta banyak pemain2 lain yg berguguran krn Pandemic maka otomatis orderan logistic pindah pd perusahaan yg kuat, effisien dan memiliki GCG baik.


Disc on",SMDR
149,5tocker,"12 May 21, 19:40",Pertama diamankan,[]
150,kaburterus,"12 May 21, 19:40",@NhaLo nah lo.... ada yang baper...,[]
151,AdyEndeavor,"12 May 21, 19:40",simbiosis mutualisme lah. India banyak impor cpo /batubara jg dari indo. Klo mereka kesusahan ekonomi kita jg kedampak...,INDO
152,StockbitReports,"12 May 21, 19:40",Laporan Informasi atau Fakta Material Pemanggilan Rapat Umum Pemegang Saham Tahunan Dan Rapat Umum Pemegang Saham Luar Biasa [SUPR],[]
153,kaburterus,"12 May 21, 19:39","@christianedbert iya pak, sudah dari awal saya bilang, saya bicara bangkrut.

Tapi sama saja penegertiannya pak. Yaitu untuk hitung Berapa margin yang aman kalau terjadi sesuatu yang buruk. Itu sebabnya disebut sebagai margin of safety.",AMAN
154,NhaLo,"12 May 21, 19:38","@christianedbert kalau mos itu ngak sesuai dengan rumus @kaburterus berati itu rumus kaum marginal, maklum bos kita satu ini kan kaum ningrat",SATU
155,HarisTian,"12 May 21, 19:38","om @ckck bagi THR dong om, biar afdhol Ramadhan dan Idul fitrimya wkwkwkwk.

Taqobballahu minna wa minkum, shiyamana wa shiyamakum...
Happy Eid Mubarak 1442 H om. .",[]
156,skydrugz27,"12 May 21, 19:38","$ITMG Cadangan Batubara Habis?

Banyak investor yang tidak mau investasi di ITMG karena katanya takut cadangan Batubara ITMG akan habis dalam 10-15 tahun lagi.

Padahal itu easy problem. Manajemen ITMG tinggal akuisisi saja tambang Batubara lain yang konsesi nya masih panjang. Untuk akuisisi tambang Batubara baru paling hanya butuh dana 10 Milyar - 1 Triliun saja. Dan cadangan kas ITMG menurut saya cukup untuk itu. Kalau dana tidak cukup tinggal pinjam bank atau rilis obligasi saja. Problem solved.

Lagipula manajemen ITMG sudah punya banyak pengalaman di dunia batubara. Induk ITMG, Banpu, juga tidak mungkin akan tinggal diam membiarkan mesin kas nya di Indonesia macet. They'll find the way to live their cash machine.

Kalaupun ITMG ternyata tidak bisa akuisisi tambang Batubara baru. Maka buat investor nya banyak - banyak doa saja. Dalam 10 tahun dividen ITMG cukup untuk balikan modal semua investornya.

Yang pasti semua investor ITMG yang beli sejak IPO sampai sekarang sudah balik modal beberapa kali hanya dari dividen saja. Buat investor yang baru masuk, banyak - banyak ibadah saja sambil berdoa agar ITMG bisa temukan tambang baru untuk diakusisi atau ganti bidang usaha dari jualan Coal ke jualan kripto seperti yang dilakukan Tesla. Jualan mobil kurang cuan, jualan Bitcoin malah lebih cuan.

Buat yang mau ikutan Tesla jualan bitcoin boleh daftar di sini untuk dapat komisi 10%","AGAR,BANK,CASH,ITMG,SINI"
